source,relation,target,citations,rules,admissibility
kw_Alden_Global_Capital_LLC,rel,hub_Litigation_Keywords,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_14th_Amendment_substantive_due_process_M,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_1st_Amendment_Michigan_Constitution_Art_,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2023_01,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2023_02,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2023_03,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2023_04,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2023_05,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2023_06,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2023_07,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2023_08,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2023_09,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2023_10,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2023_11,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2023_12,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2024_01,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2024_02,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2024_03,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2024_03_26,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2024_03_29,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2024_04,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
hub_Litigation_Keywords,rel,kw_2024_04_01,,MRE 401; MRE 403 (probative vs. prejudice); MRE 802 (hearsay),NEEDS PROOF
