"Name","Description"
"litigation-appeal-brief-engine","LITIGATION-APPEAL-BRIEF-ENGINE"
"litigation-appellate-record-specialist","Appellate Record Specialist"
"litigation-appellate-strategist","litigation-appellate-strategist"
"litigation-asset-discovery-engine","Asset Discovery Engine"
"litigation-brief-writer","LITIGATION-BRIEF-WRITER"
"litigation-case-evaluation-specialist","Case Evaluation Specialist"
"litigation-case-strategy-architect","litigation-case-strategy-architect"
"litigation-cause-of-action-library","litigation-cause-of-action-library"
"litigation-child-support-analyzer","litigation-child-support-analyzer"
"litigation-contempt-specialist","Contempt Specialist"
"litigation-court-order-tracker","LITIGATION-COURT-ORDER-TRACKER"
"litigation-custody-specialist","litigation-custody-specialist"
"litigation-default-judgment-engine","litigation-default-judgment-engine"
"litigation-deposition-strategist","Deposition preparation and execution specialist for Michigan family law. Use when: deposition prep, witness questioning, deposition notice, impeachment material, cross-examination plan, deposition summary."
"litigation-discovery-warfare","litigation-discovery-warfare"
"litigation-emergency-motion-engine","LITIGATION-EMERGENCY-MOTION-ENGINE"
"litigation-evidence-harvester","litigation-evidence-harvester"
"litigation-expert-witness-manager","litigation-expert-witness-manager"
"litigation-federal-civil-rights","litigation-federal-civil-rights"
"litigation-fee-petition-engine","litigation-fee-petition-engine"
"litigation-filing-architect","litigation-filing-architect"
"litigation-foc-challenge-engine","litigation-foc-challenge-engine"
"litigation-garnishment-specialist","Garnishment Specialist"
"litigation-guardian-ad-litem-specialist","litigation-guardian-ad-litem-specialist"
"litigation-harm-quantifier","LITIGATION-HARM-QUANTIFIER"
"litigation-impeachment-engine","litigation-impeachment-engine"
"litigation-interrogatory-specialist","Interrogatory Specialist"
"litigation-judicial-analyst","litigation-judicial-analyst"
"litigation-judicial-recusal-engine","litigation-judicial-recusal-engine"
"litigation-jury-instruction-engine","litigation-jury-instruction-engine"
"litigation-mandatory-disclosure-specialist","Mandatory Disclosure Specialist"
"litigation-mediation-strategist","LITIGATION-MEDIATION-STRATEGIST"
"litigation-motion-practice","Motion drafting, briefing, and MCR 2.119 compliance for Michigan courts. Use when: draft motion, file motion, motion for reconsideration, summary disposition, emergency motion, ex parte motion, response brief, reply brief, proposed order."
"litigation-os","LitigationOS"
"litigation-parental-alienation-detector","litigation-parental-alienation-detector"
"litigation-post-judgment-specialist","Post-Judgment Specialist"
"litigation-ppo-specialist","litigation-ppo-specialist"
"litigation-pro-se-guardian","LITIGATION-PRO-SE-GUARDIAN"
"litigation-protective-order-specialist","litigation-protective-order-specialist"
"litigation-red-team","litigation-red-team"
"litigation-sanctions-engine","litigation-sanctions-engine"
"litigation-service-engine","litigation-service-engine"
"litigation-settlement-analyzer","LITIGATION-SETTLEMENT-ANALYZER"
"litigation-subpoena-engine","LITIGATION-SUBPOENA-ENGINE"
"litigation-summary-judgment-engine","Summary Judgment Engine"
"litigation-supreme-court-architect","LITIGATION-SUPREME-COURT-ARCHITECT"
"litigation-trial-preparation-specialist","Trial Preparation Specialist"
"litigation-venue-transfer-specialist","Venue Transfer Specialist"
"litigation-void-judgment-engine","Void judgment analysis and jurisdictional challenge specialist for Michigan courts. Use when: void judgment, MCR 2.612, jurisdictional deficiency, due process violation, void ab initio, relief from judgment, collateral attack, §1983 jurisdiction bypass."
"litigation-voir-dire-specialist","Voir Dire Specialist"
"local-python-executor","Safe local Python execution for LitigationOS. Wraps safe_shell.py with shadow module protection. Replaces inference.sh python-executor. Triggers: python, execute, run script, safe python, sandbox"
"pci-compliance","PCI Compliance"
"startup-business-analyst-business-case","Business Case Generator"
