file,line_no,text,topic_hits,anchor_strength
bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,439,"**USER_ASSERTED (sworn-style):** Plaintiff affirms that the Order’s narrative repeatedly converts disputed allegations, colloquial speech, and socioeconomic harm caused by incarceration/litigation into a mental-health insinuation without competent evidentiary findings tied to child safety. Plaintiff denies threatening conduct, denies unfitness, and denies that communications made to seek contact with his child justify suspension of parenting time. Plaintiff further affirms that repeated incarceration—imposed in proceedings intertwined with parenting-time conflict and PPO enforcement—caused loss of four jobs and two homes, which the Order then repurposes as “mental health concern,” compounding prejudice. Plaintiff affirms the Order conditions the continuation of his objection hearing on a compelled assessment process that is contaminated by disputed narrative inputs and functions as a barrier to being heard, thereby prolonging ex parte deprivation of the parent-child relationship.",EXPARTE_USB_AUDIO;HEALTHWEST_EVAL;PARENTING_TIME;PPO;CONTEMPT_JAIL;DUE_PROCESS_FINDINGS,6
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,28,| 2025-01-07 | MEEK3 | RECORD_RECITED | NO-PPO-SHOWCAUSE-2025-01-07 — Hearing/Notice Event (2023-005907-PP) | Status=ADJOURNED; Hearing=Show cause hearing; DefectFlag=N/A | MSC_SIGNAL_PACKET_XXVV_LIVE_APPEND_CANON_v4_APPEND.md:40-48 |,EXPARTE_USB_AUDIO;PPO;SERVICE_NOTICE;DUE_PROCESS_FINDINGS;BIAS_RECUSAL_JTC,5
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,29,| 2025-02-04 | MEEK3 | RECORD_RECITED | NO-PPO-SHOWCAUSE-2025-02-04 — Hearing/Notice Event (2023-005907-PP) | Status=HEARD; Hearing=Adjourned show cause (3:00 PM); DefectFlag=N/A | MSC_SIGNAL_PACKET_XXVV_LIVE_APPEND_CANON_v4_APPEND.md:40-48 |,EXPARTE_USB_AUDIO;PPO;SERVICE_NOTICE;DUE_PROCESS_FINDINGS;BIAS_RECUSAL_JTC,5
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,30,| 2025-02-28 | MEEK3 | RECORD_RECITED | OO-PPO-VIOL-2025-02-28 — Criminal Contempt/Sanction Order (2023-005907-PP) | Status=ENTERED_SANCTION; Hearing=PPO violation hearing; DefectFlag=QUOTE_UNPINNED | MSC_SIGNAL_PACKET_XXVV_LIVE_APPEND_CANON_v4_APPEND.md:40-48 |,EXPARTE_USB_AUDIO;PPO;CONTEMPT_JAIL;DUE_PROCESS_FINDINGS;BIAS_RECUSAL_JTC,5
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,32,| 2025-06-12 | MEEK3 | RECORD_RECITED | OO-PPO-VIOL-2025-06-12 — Criminal Contempt/Sanction Order (2023-005907-PP) | Status=ENTERED_SANCTION; Hearing=Adjourned PPO violation hearing (2:00 PM); DefectFlag=QUOTE_UNPINNED | MSC_SIGNAL_PACKET_XXVV_LIVE_APPEND_CANON_v4_APPEND.md:40-48 |,EXPARTE_USB_AUDIO;PPO;CONTEMPT_JAIL;DUE_PROCESS_FINDINGS;BIAS_RECUSAL_JTC,5
ef06d6b4-d097-4144-b7f6-d65fb44efe6d.md,94,| VM-08 | 14th Circuit PPO lane | MEEK3 | Motion for relief from contempt/sanction orders or to correct punitive chain record | MED | 2/28 and 6/12 contempt/sanction nodes; quote/service pins still missing |,EXPARTE_USB_AUDIO;MEDICATION_CONDITION;PPO;CONTEMPT_JAIL;SERVICE_NOTICE,5
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,194,"57. Father's moral fitness is established by his clean record — seven (7) or more investigations with zero findings of abuse or misconduct — and by the HealthWest psychological clearance. Mother's moral fitness is called into question by her systematic obstruction of court-ordered parenting time, her instrumentalization of the legal system to deny Father's rights, and the Watson family's coordinated alienation campaign. In *Brown v. Loveman*, 260 Mich. App. 576, 590 (2004), the Court of Appeals recognized that a parent's interference with the other parent's relationship with the child is relevant to the moral fitness inquiry. **This factor favors Father.**",EXPARTE_USB_AUDIO;HEALTHWEST_EVAL;PARENTING_TIME;DUE_PROCESS_FINDINGS,4
7a619538-45e5-4488-9eb4-e0d1894a06cc.md,218,"64. No court has made any finding of domestic violence by Father after an evidentiary hearing in this case. Seven (7) or more investigations have produced zero findings of abuse. The HealthWest psychological evaluation produced a clearance from Dr. DeAugustine. The allegations underlying the PPO in Case No. 2023-5907-PP were, upon information and belief, never subjected to a full evidentiary hearing. **This factor is neutral or favors Father**, as no substantiated evidence of domestic violence by Father exists in the record.",EXPARTE_USB_AUDIO;HEALTHWEST_EVAL;PPO;DUE_PROCESS_FINDINGS,4
bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,63,"**USER_ASSERTED:** The Court imposed an assessment demand as a condition-track affecting parenting time **without** an established evidentiary predicate demonstrating present danger or incapacity, and before adjudicating the ex parte suspension on a complete record.",EXPARTE_USB_AUDIO;HEALTHWEST_EVAL;PARENTING_TIME;DUE_PROCESS_FINDINGS,4
bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,424,**USER_ASSERTED:** This conditions continuation of the objection hearing—and thus prolonged deprivation of parenting time—on compliance with a contested mental-health gate. Conditioning access to adjudication on compelled evaluation is a due-process and proportionality problem where the suspension itself was ex parte and the allegations were disputed.,EXPARTE_USB_AUDIO;HEALTHWEST_EVAL;PARENTING_TIME;DUE_PROCESS_FINDINGS,4
