line_no,order_text_verbatim,rebuttal_counter_record
1,STATE OF MICHIGAN,Record caption/identifier; no rebuttal needed.
2,IN THE CIRCUIT COURT FOR THE COUNTY OF MUSKEGON,Record caption/identifier; no rebuttal needed.
3,"ANDREW J. PIGORS,",Record caption/identifier; no rebuttal needed.
4,Plaintiff,Record caption/identifier; no rebuttal needed.
5,CASE 2024-001507-DC,Record caption/identifier; no rebuttal needed.
6,HON. JENNY L. MCNEILL,Record caption/identifier; no rebuttal needed.
7,VS.,Record caption/identifier; no rebuttal needed.
8,ORDER REGARDING PLAINTIFF'S,Record caption/identifier; no rebuttal needed.
9,OBJECTION TO EX PARTE ORDER,Record caption/identifier; no rebuttal needed.
10,"EMILY A. WATSON,",Record caption/identifier; no rebuttal needed.
11,Defendant,"REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
12,"Defendant requested, and the Court signed an ex parte order suspending the Plaintiffs",DISPUTED: Ex parte suspension must rest on specific sworn/verified facts showing immediate and irreparable harm to the child; order cites narrative about Plaintiff rather than child-specific danger and required findings.
13,"parenting time. An evidentiary hearing was held on September 4, 2025. Atthe previous hearing","RECORD-CLARIFY: Hearing occurred, but objection was not resolved; subsequent conditioning on assessment created an extended deprivation."
14,"on August 22, 2025, the Court asked the Plaintiff to undergo an assessment at Health West.","DISPUTED: Court required an assessment as a prerequisite to proceeding, effectively conditioning the right to be heard on compliance."
15,"The matter was then set for an evidentiary hearing. At the evidentiary hearing, the Plaintif","REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
16,"testified that ""everyone he tells his story too thinks that he is crazy."" Further, the Plaintiff callec",CONTEXT: Rhetorical frustration is not diagnostic evidence; quoting it as proof of instability is misleading.
17,"the Defendant's father and was speaking rapidly and about being followed. At the hearing, the",DISPUTED: Characterization is subjective; allegations of being followed are not proof of danger to the child without corroboration and nexus.
18,Plaintiff stated that he was accosted at the library; these same men were following him; he,Record caption/identifier; no rebuttal needed.
19,could not say what their names were; and stated that they were arrested. He believes that it is,DISPUTED/UNKNOWN: Order recites contested claims without citing supporting exhibits; requires evidence pointer and child-safety relevance.
20,too much of a coincidence that the Defendant's father has a license plate on his vehicle with,DISPUTED: Speculation/insinuation is not evidence and cannot support parenting-time restrictions.
21,the same letters as the corporation that owns the trailer park. The Court has serious concer:,"REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
22,"regarding the state of the Plaintiffs mental health, which could be a culmination of the job loss,",RECORD-FRAME: These hardships are consistent with repeated incarceration and litigation burdens; not evidence of child endangerment or unfitness.
23,homelessness and famnily loss he has endured over the past several months. The Court,RECORD-FRAME: These hardships are consistent with repeated incarceration and litigation burdens; not evidence of child endangerment or unfitness.
24,"considered supervised parenting time, and the Plaintiff insisted that he would not exercise",USER_ASSERTED: Plaintiff did not refuse contact; he stated supervision was unnecessary and against the child’s best interests absent evidence of harm. Treating this as a 'refusal' is punitive mischaracterization.
25,ipervised parenting time.,"REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
26,"IT IS HEREBY ORDERED that the Plaintif, Andrew Pigors, shall obtain a mental",DISPUTED: Conditioning parenting time and continuation of objection hearing on an assessment creates an indefinite suspension without required findings/timeline.
27,"health assessment and provide it to the Court, He is to inform the assessor of ALL the",DISPUTED: Directing assessor to adopt contested narrative biases the evaluation; assessment should be neutral and evidence-based.
28,"information that was presented to the Court at the hearing , including the incident atthe","REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
29,"library, alleged following by the same individuals, eviction from his housing, his Mother's","REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
30,"refusal to talk to him any further, and his lack of employment. To avoid excessive costs, the","REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
31,Plaintiff may obtain this assessment at Health West.,Record caption/identifier; no rebuttal needed.
32,The Court notes that the Plaintiff did email a HW assessment to the Court's secretary,"RECORD: Plaintiff promptly provided an assessment; order’s criticism concerns narrative mismatch, not failure to act."
33,"on Friday, September 5, 2025, before this order was complete. However, the Plaintiff did not","REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
34,follow the Court's instructions. The assessment states the following:,RECORD: Selective quotation of assessment; full context and conclusions must be evaluated.
35,because,"REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
36,"That he has stable housing, but he is temporarily staying with a friend","REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
37,the trailer he owns is being remodeled,"REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
38,◦ He reports no issues with employment,"REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
39,He reports no issues with others with the exception of his ex,"REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
40,◦ He has support of friends and family,"REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
41,"None of the above statements are what he testified to in Court. He was evicted, and his trailer",DISPUTED: Alleged inconsistencies can stem from misunderstanding or timing; not grounds to deny parenting time without evidence of harm.
42,"is not being remodeled. According to the Plaintiff, it was damaged , if not destroyed by the","REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
43,owners of the trailer park. His District Court case resulted in an eviction. He sued in Circuit,IRRELEVANT/PREJUDICIAL: Collateral housing litigation is not a child-safety basis to restrict parenting time.
44,Court and that case was dismissed. He plans to file a federal lawsuit. He currently not,IRRELEVANT/RETALIATION-PRONE: Seeking legal redress is protected; cannot be used negatively.
45,Sy,"REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
46,"working, and has had several jobs over the course of the litigation, some of which he was",RECORD-FRAME: Employment instability aligns with repeated incarceration and court-imposed deprivation; not evidence of parenting danger.
47,terminated from. He stated that he was going to be starting another job. He has issues with,RECORD-FRAME: Employment instability aligns with repeated incarceration and court-imposed deprivation; not evidence of parenting danger.
48,"his mother, who he stated is not speaking to him. Further, he made concerning calls to the",IRRELEVANT: Family disagreement is not child-safety evidence; order lacks nexus.
49,Defendant's family/friends and acknowledged that he again violated the PPO by contacting,DISPUTED/CONTEXT: Alleged PPO contact primarily consisted of requests to see the child; weaponizing a PPO to criminalize parenting-time requests is improper absent threats/harassment proof.
50,the Defendant.,"REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
51,"Once the Plaintiff provides the requested assessment as stated above, the Court will","REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
52,continue the hearing on his objection to the ex parte order.,"REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
53,/25,"REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
54,iil,"REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
55,Dated:,Record caption/identifier; no rebuttal needed.
56,ny,"REVIEW: Potential adverse implication; demand evidence pointers, required findings, and child-safety nexus; rebut with denial + alternative explanation."
57,HON. JENNYL MCNEILL,Record caption/identifier; no rebuttal needed.
58,CIRCUIT COURT JUDGE,Record caption/identifier; no rebuttal needed.
59,3,Record caption/identifier; no rebuttal needed.
60,-1-,Record caption/identifier; no rebuttal needed.
