"Name","Description"
"active-directory-attacks","Active Directory Attacks"
"api-security-best-practices","Implement secure API design patterns including authentication, authorization, input validation, rate limiting, and protection against common API vulnerabilities"
"audit-openclaw-security","audit-openclaw-security"
"auth-implementation-patterns","Authentication & Authorization Implementation Patterns"
"authentication-setup","Authentication Setup"
"backend-security-coder","Use this skill when"
"clerk-auth","Expert patterns for Clerk auth implementation, middleware, organizations, webhooks, and user sync Use when: adding authentication, clerk auth, user authentication, sign in, sign up."
"codebase-cleanup-deps-audit","You are a dependency security expert specializing in vulnerability scanning, license compliance, and supply chain security. Analyze project dependencies for known vulnerabilities, licensing issues, outdated packages, and provide actionable remediation strategies."
"computer-use-agents","Build AI agents that interact with computers like humans do - viewing screens, moving cursors, clicking buttons, and typing text. Covers Anthropic's Computer Use, OpenAI's Operator/CUA, and open-source alternatives. Critical focus on sandboxing, security, and handling the unique challenges of vision-based control. Use when: computer use, desktop automation agent, screen control AI, vision-based agent, GUI automation."
"dependency-management-deps-audit","You are a dependency security expert specializing in vulnerability scanning, license compliance, and supply chain security. Analyze project dependencies for known vulnerabilities, licensing issues, outdated packages, and provide actionable remediation strategies."
"doc-coauthoring","Doc Co-Authoring Workflow"
"evidence-intelligence-nexus","ELITE evidence mastery — fusion of 12 evidence/claims/authority skills. Covers evidence harvesting, authentication, context injection, timeline forensics, drive forensic scanning, drive organization, harm quantification, damages calculation, claim research, cause of action library, authority validation, and local legal search."
"firebase","Firebase gives you a complete backend in minutes - auth, database, storage, functions, hosting. But the ease of setup hides real complexity. Security rules are your last line of defense, and they're often wrong. Firestore queries are limited, and you learn this after you've designed your data model.  This skill covers Firebase Authentication, Firestore, Realtime Database, Cloud Functions, Cloud Storage, and Firebase Hosting. Key insight: Firebase is optimized for read-heavy, denormalized data. I"
"frontend-mobile-security-xss-scan","You are a frontend security specialist focusing on Cross-Site Scripting (XSS) vulnerability detection and prevention. Analyze React, Vue, Angular, and vanilla JavaScript code to identify injection poi"
"frontend-security-coder","Use this skill when"
