"Name","Description"
"api-fuzzing-for-bug-bounty","API Fuzzing for Bug Bounty"
"app-store-screenshots","App Store and Google Play screenshot creation with exact platform specs. Covers iOS/Android dimensions, gallery ordering, device mockups, and preview videos. Use for: app store optimization, ASO, app screenshots, app preview, play store listing. Triggers: app store screenshots, aso, app store optimization, play store screenshots, app preview, app listing, ios screenshots, android screenshots, app store images, app mockup, device mockup, app gallery, store listing"
"app-store-screenshots","App Store and Google Play screenshot creation with exact platform specs. Covers iOS/Android dimensions, gallery ordering, device mockups, and preview videos. Use for: app store optimization, ASO, app screenshots, app preview, play store listing. Triggers: app store screenshots, aso, app store optimization, play store screenshots, app preview, app listing, ios screenshots, android screenshots, app store images, app mockup, device mockup, app gallery, store listing"
"architect-review","Use this skill when"
"cicd-automation-workflow-automate","You are a workflow automation expert specializing in creating efficient CI/CD pipelines, GitHub Actions workflows, and automated development processes. Design automation that reduces manual work, improves consistency, and accelerates delivery while maintaining quality and security."
"clarity-gate","Pre-ingestion verification for epistemic quality in RAG systems with 9-point verification and Two-Round HITL workflow"
"clean-code","Applies principles from Robert C. Martin's 'Clean Code'. Use this skill when writing, reviewing, or refactoring code to ensure high quality, readability, and maintainability. Covers naming, functions, comments, error handling, and class design."
"code-refactoring","Code Refactoring"
"code-refactoring-context-restore","Use when working with code refactoring context restore"
"code-refactoring-refactor-clean","You are a code refactoring expert specializing in clean code principles, SOLID design patterns, and modern software engineering best practices. Analyze and refactor the provided code to improve its quality, maintainability, and performance."
"code-refactoring-tech-debt","You are a technical debt expert specializing in identifying, quantifying, and prioritizing technical debt in software projects. Analyze the codebase to uncover debt, assess its impact, and create acti"
"code-review","Code Review"
"code-review-ai-ai-review","You are an expert AI-powered code review specialist combining automated static analysis, intelligent pattern recognition, and modern DevOps practices. Leverage AI tools (GitHub Copilot, Qodo, GPT-5, C"
"code-review-checklist","Comprehensive checklist for conducting thorough code reviews covering functionality, security, performance, and maintainability"
"code-review-excellence","Code Review Excellence"
"code-reviewer","Use this skill when"
"codebase-cleanup-refactor-clean","You are a code refactoring expert specializing in clean code principles, SOLID design patterns, and modern software engineering best practices. Analyze and refactor the provided code to improve its quality, maintainability, and performance."
"codex-review","codex-review"
"competitor-teardown","Structured competitive analysis with feature matrices, SWOT, positioning maps, and UX review. Covers research frameworks, pricing comparison, review mining, and visual deliverables. Use for: market research, competitive intelligence, investor decks, product strategy, sales enablement. Triggers: competitor analysis, competitive analysis, competitor teardown, market research, competitive intelligence, swot analysis, competitor comparison, market landscape, competitor review, competitive landscape, feature comparison, market positioning"
"competitor-teardown","Structured competitive analysis with feature matrices, SWOT, positioning maps, and UX review. Covers research frameworks, pricing comparison, review mining, and visual deliverables. Use for: market research, competitive intelligence, investor decks, product strategy, sales enablement. Triggers: competitor analysis, competitive analysis, competitor teardown, market research, competitive intelligence, swot analysis, competitor comparison, market landscape, competitor review, competitive landscape, feature comparison, market positioning"
"comprehensive-review-full-review","Use when working with comprehensive review full review"
"comprehensive-review-pr-enhance","You are a PR optimization expert specializing in creating high-quality pull requests that facilitate efficient code reviews. Generate comprehensive PR descriptions, automate review processes, and ensure PRs follow best practices for clarity, size, and reviewability."
"copy-editing","When the user wants to edit, review, or improve existing marketing copy. Also use when the user mentions 'edit this copy,' 'review my copy,' 'copy feedback,' 'proofread,' 'polish this,' 'make this better,' or 'copy sweep.' This skill provides a systematic approach to editing marketing copy through multiple focused passes."
"create-agentsmd","Create high‑quality AGENTS.md file"
"create-pr","Create pull requests following Sentry conventions. Use when opening PRs, writing PR descriptions, or preparing changes for review. Follows Sentry's code review guidelines."
"creating-oracle-to-postgres-migration-bug-report","Creating Bug Reports for Oracle-to-PostgreSQL Migration"
"data-intelligence-forge","ELITE data intelligence — fusion of 22 data/DB/search skills. Covers data engineering, data science, visualization, quality, pipelines, database architecture, SQL optimization, embeddings, vector search, RAG, hybrid search, and similarity patterns."
"data-quality-frameworks","Data Quality Frameworks"
"debugger","Debugger"
"debugger","Use this skill when"
"debugging","Debugging"
"debugging-strategies","Debugging Strategies"
"debugging-toolkit-smart-debug","Use when working with debugging toolkit smart debug"
"deep-research","Execute autonomous multi-step research using Google Gemini Deep Research Agent. Use for: market analysis, competitive landscaping, literature reviews, technical research, due diligence. Takes 2-10 minutes but produces detailed, cited reports. Costs $2-5 per task."
"distributed-debugging-debug-trace","You are a debugging expert specializing in setting up comprehensive debugging environments, distributed tracing, and diagnostic tools. Configure debugging workflows, implement tracing solutions, and establish troubleshooting practices for development and production environments."
"dotnet-design-pattern-review",".NET/C# Design Pattern Review"
"error-debugging-error-analysis","You are an expert error analysis specialist with deep expertise in debugging distributed systems, analyzing production incidents, and implementing comprehensive observability solutions."
