"Name","Description"
"automate-whatsapp","Build WhatsApp automations with Kapso workflows: configure WhatsApp triggers, edit workflow graphs, manage executions, deploy functions, and use databases/integrations for state. Use when automating WhatsApp conversations and event handling."
"azd-deployment","Azure Developer CLI (azd) Container Apps Deployment"
"c4-container","C4 Container Level: System Deployment"
"chat-ui","Chat UI building blocks for React/Next.js from ui.inference.sh. Components: container, messages, input, typing indicators, avatars. Capabilities: chat interfaces, message lists, input handling, streaming. Use for: building custom chat UIs, messaging interfaces, AI assistants. Triggers: chat ui, chat component, message list, chat input, shadcn chat,  react chat, chat interface, messaging ui, conversation ui, chat building blocks"
"cloud-design-patterns","Cloud Design Patterns"
"containerize-aspnet-framework","ASP.NET .NET Framework Containerization Prompt"
"cost-optimization","Cloud Cost Optimization"
"deployment-automation","Deployment Automation"
"deployment-pipeline-design","Deployment Pipeline Design"
"deployment-procedures","Deployment Procedures"
"devops-rollout-plan","DevOps Rollout Plan Generator"
"expo-deployment","Deploy Expo apps to production"
"file-uploads","Expert at handling file uploads and cloud storage. Covers S3, Cloudflare R2, presigned URLs, multipart uploads, and image optimization. Knows how to handle large files without blocking. Use when: file upload, S3, R2, presigned URL, multipart."
"hybrid-cloud-networking","Hybrid Cloud Networking"
"import-infrastructure-as-code","Import Infrastructure as Code (Azure -> Terraform with AVM)"
"k8s-manifest-generator","Application description"
"multi-cloud-architecture","Multi-Cloud Architecture"
"multi-platform-apps-multi-platform","Build and deploy the same feature consistently across web, mobile, and desktop platforms using API-first architecture and parallel implementation strategies."
"terraform-azurerm-set-diff-analyzer","Terraform AzureRM Set Diff Analyzer"
"terraform-module-library","Terraform Module Library"
"update-avm-modules-in-bicep","Update Azure Verified Modules in Bicep Files"
"upstash-qstash","Upstash QStash expert for serverless message queues, scheduled jobs, and reliable HTTP-based task delivery without managing infrastructure. Use when: qstash, upstash queue, serverless cron, scheduled http, message queue serverless."
"vercel-deploy","Deploy applications and websites to Vercel instantly. Use when asked to \"
"vercel-deployment","Expert knowledge for deploying to Vercel with Next.js Use when: vercel, deploy, deployment, hosting, production."
