"Name","Description"
"api-documentation","API Documentation"
"api-documentation-generator","Generate comprehensive, developer-friendly API documentation from code, including endpoints, parameters, examples, and best practices"
"appinsights-instrumentation","AppInsights Instrumentation Guide"
"audio-transcriber","Transform audio recordings into professional Markdown documentation with intelligent summaries using LLM integration"
"backend-dev-guidelines","Backend Development Guidelines"
"brand-guidelines","Anthropic Brand Styling"
"breakdown-epic-pm","Epic Product Requirements Document (PRD) Prompt"
"c4-architecture-c4-architecture","Generate comprehensive C4 architecture documentation for an existing repository/codebase using a bottom-up analysis approach."
"claude-code-guide","Claude Code Guide"
"code-documentation-code-explain","You are a code education expert specializing in explaining complex code through clear narratives, visual diagrams, and step-by-step breakdowns. Transform difficult concepts into understandable explanations."
"code-documentation-doc-generate","You are a documentation expert specializing in creating comprehensive, maintainable documentation from code. Generate API docs, architecture diagrams, user guides, and technical references using AI-powered analysis and industry best practices."
"comment-code-generate-a-tutorial",""
"containerize-aspnetcore","ASP.NET Core Docker Containerization Prompt"
"content-repurposing","Content atomization — turn one piece of content into many formats. Covers blog-to-thread, blog-to-carousel, podcast-to-blog, video-to-quotes, and more. Use for: content marketing, social media, multi-platform distribution, content strategy. Triggers: content repurposing, repurpose content, content atomization, content recycling, one to many content, multi platform content, cross post, adapt content, reformat content, blog to thread, blog to video, podcast to blog, content multiplication"
"content-repurposing","Content atomization — turn one piece of content into many formats. Covers blog-to-thread, blog-to-carousel, podcast-to-blog, video-to-quotes, and more. Use for: content marketing, social media, multi-platform distribution, content strategy. Triggers: content repurposing, repurpose content, content atomization, content recycling, one to many content, multi platform content, cross post, adapt content, reformat content, blog to thread, blog to video, podcast to blog, content multiplication"
"convert-plaintext-to-md","Convert Plaintext Documentation to Markdown"
"create-oo-component-documentation","Generate Standard OO Component Documentation"
"create-readme",""
"create-technical-spike","Create Technical Spike Document"
"csharp-docs","types are documented with XML comments and follow best practices for documentation.'"
"culture-index","Index and search culture documentation"
"docker-expert","Docker Expert"
"documentation-generation-doc-generate","You are a documentation expert specializing in creating comprehensive, maintainable documentation from code. Generate API docs, architecture diagrams, user guides, and technical references using AI-powered analysis and industry best practices."
"documentation-templates","Documentation Templates"
"documentation-writer","Diátaxis Documentation Expert"
"docx","Comprehensive document creation, editing, and analysis with support for tracked changes, comments, formatting preservation, and text extraction. When Claude needs to work with professional documents (.docx files) for: (1) Creating new documents, (2) Modifying or editing content, (3) Working with tracked changes, (4) Adding comments, or any other document tasks"
"drive-forensic-scanner","Deep forensic scanner for all drives. Fingerprints every file by content, detects duplicates via SHA256, classifies legal docs vs code vs evidence vs trash, maps project structures, finds corrupt/empty files, builds complete manifests. Use when: scan drives, organize files, find duplicates, audit filesystem."
"environment-setup-guide","Guide developers through setting up development environments with proper tools, dependencies, and configurations"
"fluentui-blazor","Fluent UI Blazor — Consumer Usage Guide"
"frontend-dev-guidelines","Frontend Development Guidelines"
"go-rod-master","Comprehensive guide for browser automation and web scraping with go-rod (Chrome DevTools Protocol) including stealth anti-bot-detection patterns."
"image-to-video","Still-to-video conversion guide: model selection, motion prompting, and camera movement. Covers Wan 2.5 i2v, Seedance, Fabric, Grok Video with when to use each. Use for: animating images, creating video from stills, adding motion, product animations. Triggers: image to video, i2v, animate image, still to video, add motion to image, image animation, photo to video, animate still, wan i2v, image2video, bring image to life, animate photo, motion from image"
