page,line
1,SHOW CAUSE HEARING ON PERSONAL PROTECTION ORDER
1,Certified Electronic Recorder
3,the PPO violation that I received on Sunday the 20th. I
3,"PPO into my vehicle while laughing and saying, “Ha-ha,"
3,now you're served.” And that's how I was served this PPO
3,things were manipulated to obtain the PPO in the first
4,"to relitigate it. So, if -- you've had your opportunity,"
4,issue of the PPO. We're not going to do it again.
4,there is new evidence regarding PPO violations on –-
4,THE COURT: -- the PPO -- the only person that
4,can violate the PPO is you.
5,"THE COURT: The PPO orders you to do things,"
5,not her. It orders you --
5,this PPO. This PPO is between you and her and –-
5,with the custody of my son. It's all revolving around my
5,from my son. That's the whole point of the PPO. There's
5,PPO. That’s aggressive -–
6,"know we can't discuss the custody, but they're -– they’re"
7,"(At 10:01 a.m., the hearing is closed)"
