src,dst,folder,size,ext,drive,lane,lit_score,ev_value
I:\chat.html,I:\_ORGANIZED\HTML\chat.html,HTML,1303503479,.html,I,,0.0,none
I:\conversations.json,I:\_ORGANIZED\JSON\conversations.json,JSON,1259694408,.json,I,,0.0,none
I:\conversations (1).json,I:\_ORGANIZED\JSON\conversations (1).json,JSON,1104097012,.json,I,,0.0,none
I:\conversations (2).json,I:\_ORGANIZED\JSON\conversations (2).json,JSON,686532550,.json,I,,0.0,none
I:\case_blueprint.md.pdf,I:\_ORGANIZED\PDF\case_blueprint.md.pdf,PDF,110457,.pdf,I,,0.0,none
I:\Motion_for_Disqualification_Judge_McNeill.md.docx,I:\_ORGANIZED\DOCX\Motion_for_Disqualification_Judge_McNeill.md.docx,DOCX,18519,.docx,I,E,0.0,none
I:\11_ARCHIVE\EternalMax.zip,I:\_ORGANIZED\ARCHIVE\EternalMax.zip,ARCHIVE,452050003,.zip,I,,0.0,none
I:\11_ARCHIVE\Legacy\_DEPLOYABLE_ZIP_BUNDLE\module_task.py,I:\_ORGANIZED\PY\module_task.py,PY,70,.py,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\draft_archive_20260312\drafts\MANUS_RUNSPEC.kv1,I:\_ORGANIZED\_UNKNOWN\MANUS_RUNSPEC.kv1,_UNKNOWN,913,.kv1,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\temp_stale_20260312\cmd_test.bat,I:\_ORGANIZED\CODE\cmd_test.bat,CODE,90,.bat,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\temp_stale_20260312\db_test_result.txt,I:\_ORGANIZED\TXT\db_test_result.txt,TXT,85,.txt,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\temp_stale_20260312\direct_run.bat,I:\_ORGANIZED\CODE\direct_run.bat,CODE,788,.bat,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\temp_stale_20260312\go.bat,I:\_ORGANIZED\CODE\go.bat,CODE,171,.bat,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\temp_stale_20260312\launch_op1.bat,I:\_ORGANIZED\CODE\launch_op1.bat,CODE,303,.bat,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\temp_stale_20260312\pass2_result.txt,I:\_ORGANIZED\TXT\pass2_result.txt,TXT,364,.txt,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\temp_stale_20260312\run_all_diag.bat,I:\_ORGANIZED\CODE\run_all_diag.bat,CODE,749,.bat,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\temp_stale_20260312\run_mining.bat,I:\_ORGANIZED\CODE\run_mining.bat,CODE,157,.bat,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\temp_stale_20260312\RUN_OP1.bat,I:\_ORGANIZED\CODE\RUN_OP1.bat,CODE,447,.bat,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\temp_stale_20260312\run_patched.bat,I:\_ORGANIZED\CODE\run_patched.bat,CODE,82,.bat,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\temp_stale_20260312\run_qa.bat,I:\_ORGANIZED\CODE\run_qa.bat,CODE,228,.bat,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\temp_stale_20260312\start_ollama.bat,I:\_ORGANIZED\CODE\start_ollama.bat,CODE,81,.bat,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\temp_stale_20260312\SYSTEM_TEST.txt,I:\_ORGANIZED\TXT\SYSTEM_TEST.txt,TXT,93,.txt,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\temp_stale_20260312\test_create.bat,I:\_ORGANIZED\CODE\test_create.bat,CODE,149,.bat,I,,0.0,none
I:\11_ARCHIVE\Legacy\LitigationOS_Archive\temp_stale_20260312\test_run.bat,I:\_ORGANIZED\CODE\test_run.bat,CODE,98,.bat,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__CAPSTONE__FINAL_COMPLAINT_AFFIDAVIT_TRO_ZIP_BUNDLE.zip.crdownload,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__CAPSTONE__FINAL_COMPLAINT_AFFIDAVIT_TRO_ZIP_BUNDLE.zip.crdownload,_UNKNOWN,5568558,.crdownload,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__RCLONE__RCLONE__rclone__rclone-v1.72.1-windows-amd64__rclone.1,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__RCLONE__RCLONE__rclone__rclone-v1.72.1-windows-amd64__rclone.1,_UNKNOWN,3107887,.1,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__RCLONE__RCLONE__rclone-v1.71.1-windows-amd64__rclone-v1.71.1-windows-amd64__rclone.1,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__RCLONE__RCLONE__rclone-v1.71.1-windows-amd64__rclone-v1.71.1-windows-amd64__rclone.1,_UNKNOWN,2951771,.1,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057892259_redacted__images__32044057892259_00010_0.jp2,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057892259_redacted__images__32044057892259_00010_0.jp2,_UNKNOWN,2402299,.jp2,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057892259_redacted__images__32044057892259_00009_0.jp2,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057892259_redacted__images__32044057892259_00009_0.jp2,_UNKNOWN,2389595,.jp2,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057892259_redacted__images__32044057892259_00009_1.jp2,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057892259_redacted__images__32044057892259_00009_1.jp2,_UNKNOWN,2319721,.jp2,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057892259_redacted__images__32044057892259_00008_1.jp2,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057892259_redacted__images__32044057892259_00008_1.jp2,_UNKNOWN,2302681,.jp2,I,,0.0,none
I:\11_ARCHIVE\Legacy\_ORGANIZED\LITIGATION\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057891608_redacted__images__32044057891608_00009_1.jp2,I:\_ORGANIZED\_UNKNOWN\LITIGATION_OS__ALL_PC_EVIDENCE_EXTRACTED__Uncategorized__capstone-develop__capstone-develop__capstone__test_data__from_vendor__32044057891608_redacted__images__32044057891608_00009_1.jp2,_UNKNOWN,2277092,.jp2,I,,0.0,none
