chron_id,date,event,proof_tag,source_files,source_count,sample_context
CHRON-001,2024-04-05,Complaint filed (custody/PT/child support),DOC_EXTRACTED,2sided judge orders scanned_0017.pdf,1,"Court recitation page states Plaintiff filed complaint for custody, parenting time, and child support on 4/5/2024."
CHRON-002,2024-04-29,Facilitative information conference and ex parte custody/PT/support order,DOC_EXTRACTED,2sided judge orders scanned_0017.pdf,1,"Recitation states parties participated in a Facilitative Information Conference on 4/29/2024 and ex parte Order Regarding Custody, Parenting Time and Child Support was entered."
CHRON-003,2024-05-03,Uniform Child Support Order effective date,DOC_EXTRACTED,2sided judge orders scanned_0014.pdf; 2sided judge orders scanned_0013.pdf,2,Uniform Child Support Order pages show effective date 5/3/2024 and trial/hearing references on 7/17/2024.
CHRON-004,2024-06-05,FOC recommendation entered (custody/PT/support sequence),DOC_EXTRACTED,2sided judge orders scanned_0016.pdf; 2sided judge orders scanned_0017.pdf,2,Recitation pages reference Friend of the Court recommendation dated 6/5/2024 and subsequent order chain.
CHRON-005,2024-07-17,Trial / support hearing resulting in UCSO pages,DOC_EXTRACTED,2sided judge orders scanned_0013.pdf; 2sided judge orders scanned_0014.pdf,2,Uniform Child Support Order pages reference hearing/trial date 7/17/2024.
CHRON-006,2024-08-23,Final Judgment entered (repeated court recitation),DOC_EXTRACTED,2sided judge orders scanned_0010.pdf; 2sided judge orders scanned_0017.pdf; custody scanned2_0016.pdf,3,Multiple recitation pages state final judgment entered on 8/23/2024.
CHRON-007,2025-02-14,Plaintiff parenting-time motion filed,DOC_EXTRACTED,2sided judge orders scanned_0009.pdf; 2sided judge orders scanned_0010.pdf,2,Order recitation: Plaintiff filed parenting time motion on 2/14/2025.
CHRON-008,2025-03-04,FOC recommendation on Plaintiff parenting-time motion,DOC_EXTRACTED,2sided judge orders scanned_0009.pdf; 2sided judge orders scanned_0010.pdf,2,Order recitation references FOC recommendation dated 3/4/2025.
CHRON-009,2025-03-26,FOC recommendation packet (multi-page scanned recommendation set),DOC_RECITED_ANALYSIS / DOC_EXTRACTED_PARTIAL,"NoReply chronology packets (date recited); custody scanned pages 0038-0042 (recommendation/order text present, date OCR weak)",0,Large cluster of custody scan pages contain 'Recommendation dated 3/26/25' for case 24-01507-DC (multi-page FOC recommendation set).
CHRON-010,2025-05-16,Filing bond order appears in chronology (narrative packet),DOC_RECITED_ANALYSIS,NoReply_20260105_131859_0010.pdf,1,"Narrative packet bullet: May 16, 2025 filing bond order requiring bond for future motions."
CHRON-011,2025-05-20,Order imposing $250 bond / order denying motion (page dated 5/20/2025),DOC_EXTRACTED,2sided judge orders scanned_0007.pdf,1,Order page states future motions by Plaintiff require prior order and bond of $250 due to repeated frivolous motions; page also shows 'Order Denying Motion' dated 5/20/2025.
CHRON-012,2025-07-29,Last parenting time / no contact since this date (user position),USER_ASSERTED,personal_context_summary,1,User states he has not seen Lincoln since 2025-07-29.
CHRON-013,2025-08-06,Ex parte order suspending parenting time (narrative chronology anchor),DOC_RECITED_ANALYSIS,NoReply_20260105_131859_0009.pdf,1,Narrative packet bullet identifies ex parte order suspending all parenting time on 8/6/2025.
