claim_id,issue_id,doc,line_no,classification,actor,status,proposition,affirmative_counter_proposition
Cc6b2dfa14b4b,ISSUE_EX_PARTE_PROCEDURE,,13,ex_parte_reference,court_text,UNLINKED (needs evidence linkage),TO EX PARTE ORDER,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
Cfd5aba895223,ISSUE_PARENTING_TIME_RESTRICTION,,18,parenting_time_restriction,court_text,UNLINKED (needs evidence linkage),"Defendant requested, and the Court signed an ex parte order suspending the Plaintiffs",Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
Cb263ee65e3fe,ISSUE_MENTAL_HEALTH,,21,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),obtain a mental health assessment. The parties appeared on 10/29/25.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
Ccdcff41df021,ISSUE_MENTAL_HEALTH,,22,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),"The Plaintiff objected to the Court reviewing a 2nd assessment from Health West, stating (under",The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
C639ed2dc37a5,ISSUE_MENTAL_HEALTH,,23,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),oath) that he did not obtain a second assessment. The Court adjourned the hearing and,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
C2a1b0c7ea9ef,ISSUE_MENTAL_HEALTH,,25,mental_health_assessment,court_text,UNLINKED (needs evidence linkage),"the two health west staff for the next hearing, which occurred on 41/26/25.",The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
Ce6cd9532a283,ISSUE_BEST_INTEREST_FINDINGS,,31,best_interest_reference,court_text,UNLINKED (needs evidence linkage),granted in accordance with the best interests of the child. It is presumed to be in the best,Adverse claims must be supported by admissible evidence and specific findings; otherwise they cannot justify restrictions.
C12235db2f1c6,ISSUE_PARENTING_TIME_RESTRICTION,,33,parenting_time_statute_reference,court_text,UNLINKED (needs evidence linkage),MCL 722.27a(1). A child has a right to parenting time with a parent unless it is shown on the,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
Ccd7c68c170ee,ISSUE_ANGER_CHARACTERIZATION,,34,anger_characterization,court_text,UNLINKED (needs evidence linkage),"record by clear and convincing evidence that it would endanger the child's physical, mental, or","Anger/volatility labels require evidentiary support and findings; absent support, they cannot justify punitive restrictions and can be rebutted with objective conduct history."
C0663900a329c,ISSUE_PARENTING_TIME_RESTRICTION,,38,parenting_time_statute_reference,court_text,UNLINKED (needs evidence linkage),722.27a(3).,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
