"Name","Description"
"context-optimization","Apply compaction, masking, and caching strategies"
"form-cro","Form Conversion Rate Optimization (Form CRO)"
"memory-forensics","Memory Forensics"
"memory-merger","Memory Merger"
"memory-safety-patterns","Memory Safety Patterns"
"opencontext","OpenContext Context Management (Persistent Memory)"
"page-cro","Page Conversion Rate Optimization (CRO)"
"performance-optimization","Performance Optimization"
"performance-profiling","Performance Profiling"
"product-hunt-launch","Product Hunt launch optimization with specific specs, timing, and gallery strategy. Covers taglines, gallery images, maker comments, and launch day tactics. Use for: product launches, startup launches, side project launches, Product Hunt optimization. Triggers: product hunt, ph launch, product hunt launch, launch strategy, product launch, startup launch, product hunt tips, product hunt gallery, ph optimization, launch day, product hunt maker"
"product-hunt-launch","Product Hunt launch optimization with specific specs, timing, and gallery strategy. Covers taglines, gallery images, maker comments, and launch day tactics. Use for: product launches, startup launches, side project launches, Product Hunt optimization. Triggers: product hunt, ph launch, product hunt launch, launch strategy, product launch, startup launch, product hunt tips, product hunt gallery, ph optimization, launch day, product hunt maker"
"python-performance-optimization","Python Performance Optimization"
"remember","Memory Keeper"
"spark-optimization","Apache Spark Optimization"
"twitter-thread-creation","Twitter/X thread writing with hook tweets, thread structure, and engagement optimization. Covers tweet formatting, character limits, media attachments, and posting strategies. Use for: Twitter threads, X posts, tweet storms, Twitter content, social media writing. Triggers: twitter thread, tweet thread, x thread, twitter post, tweet writing, thread creation, tweet storm, twitter content, x post, twitter writing, twitter hook, tweet formatting, thread structure"
"twitter-thread-creation","Twitter/X thread writing with hook tweets, thread structure, and engagement optimization. Covers tweet formatting, character limits, media attachments, and posting strategies. Use for: Twitter threads, X posts, tweet storms, Twitter content, social media writing. Triggers: twitter thread, tweet thread, x thread, twitter post, tweet writing, thread creation, tweet storm, twitter content, x post, twitter writing, twitter hook, tweet formatting, thread structure"
"web-performance-optimization","Optimize website and web application performance including loading speed, Core Web Vitals, bundle size, caching strategies, and runtime performance"
