":ID",":LABEL","form_number","title","category","court_level","division","purpose","lanes","required_fields","filing_fee","priority"
"FORM_CC_298","Form","CC 298","Application for Leave to Appeal to COA","CC","circuit","appellate","Official SCAO application for leave to appeal to Court of Appeals","F","18","$375","1"
"FORM_CC_375","Form","CC 375","Petition for Personal Protection Order (Domestic)","CC","circuit","family","Petition for PPO based on domestic relationship","D","30","$0","1"
"FORM_CC_376","Form","CC 376","Personal Protection Order (Domestic Relationship)","CC","circuit","family","PPO order issued by court — domestic relationship","D","25","","1"
"FORM_CC_377","Form","CC 377","Motion to Terminate or Modify PPO","CC","circuit","family","Motion to modify terms or terminate existing PPO","D","15","","1"
"FORM_CC_378","Form","CC 378","Answer to Petition for PPO","CC","circuit","family","Respondent's answer to PPO petition","D","18","","1"
"FORM_CC_379","Form","CC 379","Motion Regarding Personal Protection Order","CC","circuit","family","General motion regarding PPO matters — exists in JSON field data","D","40","","1"
"FORM_CC_380","Form","CC 380","Order to Show Cause for PPO Violation","CC","circuit","family","Order requiring respondent to show cause why not in contempt of PPO","D","15","","1"
"FORM_CC_381","Form","CC 381","Verification of Service of PPO","CC","circuit","family","Verification that PPO was served on respondent","D","10","","1"
"FORM_CC_382","Form","CC 382","Motion to Show Cause (PPO Violation)","CC","circuit","criminal","Motion alleging violation of personal protection order","D","18","","1"
"FORM_CC_382a","Form","CC 382a","PPO Violation Notice to Appear","CC","circuit","criminal","Notice requiring PPO violator to appear in court","D","12","","1"
"FORM_CC_385","Form","CC 385","Order on Motion Regarding PPO","CC","circuit","family","Court order on motion regarding PPO — 87 fillable fields per JSON data","D","87","","1"
"FORM_COA_Application_for_Leave","Form","COA Application for Leave","Application for Leave to Appeal","COA","appellate","appellate","Application for leave to appeal (discretionary) to COA","F","18","$375","1"
"FORM_COA_Brief_Cover","Form","COA Brief Cover","Appellate Brief Cover Page","COA","appellate","appellate","Cover page for appellate briefs (blue=appellant, white=appellee, gray=reply)","F","8","","1"
"FORM_COA_Claim_of_Appeal","Form","COA Claim of Appeal","Claim of Appeal","COA","appellate","appellate","Claim of appeal as of right to the Court of Appeals","F","15","$375","1"
"FORM_COA_Docketing_Statement","Form","COA Docketing Statement","Docketing Statement","COA","appellate","appellate","Docketing statement required with claim of appeal — case information sheet","F","20","","1"
"FORM_COA_Emergency_Motion","Form","COA Emergency Motion","Emergency Motion","COA","appellate","appellate","Emergency motion to the Court of Appeals","F","12","","1"
"FORM_COA_Motion_for_Stay","Form","COA Motion for Stay","Motion for Stay Pending Appeal","COA","appellate","appellate","Motion to stay lower court order pending appeal","F","12","","1"
"FORM_DC_104","Form","DC 104","Complaint (Landlord-Tenant / Summary Proceedings)","DC","district","civil","Landlord-tenant complaint for eviction/summary proceedings","B","25","$45","1"
"FORM_DM_100","Form","DM 100","Complaint for Custody, Parenting Time, and Child Support","DM","circuit","family","Initial complaint for custody, PT, and child support — filed in Lane A","A","25","$175","1"
