issue_id,doc,line_no,classification,refute_required,adverse_text,affirmative_counter_proposition
ISSUE_EX_PARTE_PROCEDURE,,13,ex_parte_reference,YES (adverse characterization),TO EX PARTE ORDER,Adverse assertions must be supported by admissible evidence and specific findings; otherwise they are rebuttable and cannot justify extraordinary restrictions.
ISSUE_SERVICE_NOTICE,,15,record_fact_hearing_date,NO (factual anchor; challenge via findings/evidence),HEARING 11/26/2025,Deadlines and enforcement consequences run from provable entry/service; unclear or deficient notice supports relief and record correction.
ISSUE_PARENTING_TIME_RESTRICTION,,18,parenting_time_restriction,YES (adverse characterization),"Defendant requested, and the Court signed an ex parte order suspending the Plaintiffs",Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_MENTAL_HEALTH,,21,mental_health_assessment,YES (adverse characterization),obtain a mental health assessment. The parties appeared on 10/29/25.,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,,22,mental_health_assessment,YES (adverse characterization),"The Plaintiff objected to the Court reviewing a 2nd assessment from Health West, stating (under",The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,,23,mental_health_assessment,YES (adverse characterization),oath) that he did not obtain a second assessment. The Court adjourned the hearing and,The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_MENTAL_HEALTH,,25,mental_health_assessment,YES (adverse characterization),"the two health west staff for the next hearing, which occurred on 41/26/25.",The court may rely only on record-supported evaluation evidence; disputed or nonexistent assessments cannot justify restrictions.
ISSUE_BEST_INTEREST_FINDINGS,,31,best_interest_reference,YES (adverse characterization),granted in accordance with the best interests of the child. It is presumed to be in the best,Adverse claims must be supported by admissible evidence and specific findings; otherwise they cannot justify restrictions.
ISSUE_PARENTING_TIME_RESTRICTION,,33,parenting_time_statute_reference,YES (adverse characterization),MCL 722.27a(1). A child has a right to parenting time with a parent unless it is shown on the,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_ANGER_CHARACTERIZATION,,34,anger_characterization,YES (adverse characterization),"record by clear and convincing evidence that it would endanger the child's physical, mental, or","Anger/volatility labels require evidentiary support and findings; absent support, they cannot justify punitive restrictions and can be rebutted with objective conduct history."
ISSUE_PARENTING_TIME_RESTRICTION,,38,parenting_time_statute_reference,YES (adverse characterization),722.27a(3).,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_PARENTING_TIME_RESTRICTION,,48,parenting_time_statute_reference,YES (adverse characterization),in MCL 722.27a(7). The court may also impose any reasonable terms or conditions that,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_PARENTING_TIME_RESTRICTION,,49,parenting_time_statute_reference,YES (adverse characterization),facilitate the orderly and meaningful exercise of parenting time by a parent. MCL 722.27a(9).,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_BEST_INTEREST_FINDINGS,NoReply_20260105_131630_0002.pdf,2,best_interest_reference,YES (adverse characterization),factors in MCL 722.23 and the factors listed in the parenting time,Adverse claims must be supported by admissible evidence and specific findings; otherwise they cannot justify restrictions.
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0002.pdf,3,parenting_time_statute_reference,YES (adverse characterization),"statute, MCL 722.27a(7),",Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
ISSUE_BEST_INTEREST_FINDINGS,NoReply_20260105_131630_0002.pdf,8,best_interest_reference,YES (adverse characterization),"NW2d 480 (20'l O)- ""Custody decisions require findings under all of the best interest",Adverse claims must be supported by admissible evidence and specific findings; otherwise they cannot justify restrictions.
ISSUE_PARENTING_TIME_RESTRICTION,NoReply_20260105_131630_0002.pdf,41,restriction_prohibition,YES (adverse characterization),in a domestic violence shelter shall not be construed as,Parenting time restrictions must be justified by admissible evidence and proportional findings; unsupported characterizations cannot substitute for proof.
