"Name","Description"
"api-patterns","API Patterns"
"conductor-manage","Manage track lifecycle: archive, restore, delete, rename, and cleanup"
"context-management-context-restore","Use when working with context management context restore"
"fabric-api","Fabric API (HTTP via Node/Python)"
"fal-platform","Platform APIs for model management, pricing, and usage tracking"
"fastapi-router-py","FastAPI Router"
"fastapi-templates","FastAPI Project Templates"
"litigation-damages-calculator","Financial damages computation and per-defendant allocation for Michigan family law and civil rights. Use when: calculate damages, prayer for relief, prejudgment interest, treble damages, §1983 fees, damages allocation, harm quantification."
"moodle-external-api-development","Moodle External API Development"
"openapi-spec-generation","OpenAPI Spec Generation"
"openapi-to-application-code","Generate Application from OpenAPI Spec"
"python-development-python-scaffold","You are a Python project architecture expert specializing in scaffolding production-ready Python applications. Generate complete project structures with modern tooling (uv, FastAPI, Django), type hint"
"sharp-edges","Identify error-prone APIs and dangerous configurations"
"todoist-api","Todoist API"
"typespec-api-operations","Add TypeSpec API Operations"
"typespec-create-api-plugin","[Description]"
"winmd-api-search","WinMD API Search"
