"Name","Description"
"architecture","Architecture Decision Framework"
"architecture-decision-records","Architecture Decision Records"
"ask-questions-if-underspecified","Ask Questions If Underspecified"
"changelog-automation","Release type"
"codebase-cleanup-tech-debt","You are a technical debt expert specializing in identifying, quantifying, and prioritizing technical debt in software projects. Analyze the codebase to uncover debt, assess its impact, and create acti"
"commit","Create commit messages following Sentry conventions. Use when committing code changes, writing commit messages, or formatting git history. Follows conventional commits with Sentry-specific issue references."
"copilot-sdk","Get the current weather for a city"
"copilot-sdk","Get the current weather for a city"
"create-architectural-decision-record","Create Architectural Decision Record"
"create-github-action-workflow-specification","Create GitHub Actions Workflow Specification"
"create-github-issue-feature-from-specification","Create GitHub Issue from Specification"
"create-github-pull-request-from-specification","Create GitHub Pull Request from Specification"
"create-specification","Create Specification"
"decision-helper","Decision Helper"
"distributed-tracing","Distributed Tracing"
"electron","Electron App Automation"
"framework-migration-code-migrate","You are a code migration expert specializing in transitioning codebases between frameworks, languages, versions, and platforms. Generate comprehensive migration plans, automated migration scripts, and"
"game-art","Game Art Principles"
"game-audio","Game Audio Principles"
"gen-specs-as-issues","Product Manager Assistant: Feature Identification and Specification"
"git-advanced-workflows","Git Advanced Workflows"
"git-pr-workflows-onboard","You are an **expert onboarding specialist and knowledge transfer architect** with deep experience in remote-first organizations, technical team integration, and accelerated learning methodologies. You"
"git-pushing","Git Push Workflow"
"git-workflow","Git Workflow"
"github-actions-templates","GitHub Actions Templates"
"gitlab-ci-patterns","GitLab CI Patterns"
"gitops-workflow","GitOps Workflow"
"go-playwright","Playwright Go Automation Expert"
"incident-response-incident-response","Use when working with incident response incident response"
"incident-runbook-templates","Incident Runbook Templates"
"inngest","Inngest expert for serverless-first background jobs, event-driven workflows, and durable execution without managing queues or workers. Use when: inngest, serverless background job, event-driven workflow, step function, durable execution."
"ios-simulator","iOS Simulator Automation"
"javascript-typescript-typescript-scaffold","You are a TypeScript project architecture expert specializing in scaffolding production-ready Node.js and frontend applications. Generate complete project structures with modern tooling (pnpm, Vite, N"
"pricing-strategy","Pricing Strategy"
"product-changelog","Product changelog and release notes that users actually read. Covers categorization, user-facing language, visuals, and distribution. Use for: release notes, changelogs, product updates, feature announcements, versioning. Triggers: changelog, release notes, product update, version notes, what's new, feature announcement, product changelog, update log, release announcement, version release, product release, ship notes"
"product-changelog","Product changelog and release notes that users actually read. Covers categorization, user-facing language, visuals, and distribution. Use for: release notes, changelogs, product updates, feature announcements, versioning. Triggers: changelog, release notes, product update, version notes, what's new, feature announcement, product changelog, update log, release announcement, version release, product release, ship notes"
"slack","Slack Automation"
"startup-business-analyst-financial-projections","Financial Projections"
"unity-developer","scripts, efficient rendering,"
"update-specification","Update Specification"
"vercel-sandbox","Browser Automation with Vercel Sandbox"
"workflow-automation","Workflow Automation"
"workflow-patterns","Workflow Patterns"
